doc_a,doc_b,similarity,cross_archive,shared_terms
TBUK4_162,TBUK4_170,0.3015,False,"ledbury, southwark gov, gov, gov uk"
TBUK13_001,TBUK2_004,0.3015,True,"tower, blocks, tower blocks, campaign"
TBUK1003,IMG_0168,0.3015,True,"ronan, tenants, ronan point, point"
TBUK1003,WESA_1_12_02,0.3014,True,"ronan, ronan point, point, george"
TBUK12_004,TBUK2_001,0.3014,True,"tenants, children, blocks, information"
TBUK15_024,TBUK3_036,0.3014,True,"tower block, tenants campaign, newham tower, block tenants"
TBUK4_020,TBUK4_130,0.3013,False,"southwark, southwark council, council, estate"
TBUK3_022,TBUK3_023,0.3013,False,"groups, tower, tower block, block"
TBUK4_137,TBUK4_214,0.3013,False,"wardens, residents, event, southwark"
IMG_0578,WESA_5_3_15,0.3012,True,"point, ronan, ronan point, morris"
TBUK4_171,TBUK4_207,0.3012,False,"meeting, update, estate, arup"
TBUK4_025,TBUK4_037,0.3012,False,"led bury, bury, ledbury, estate"
WESA_1_12_02,WESA_5_3_09,0.3012,True,"point, ronan point, ronan, building"
TBUK3_022,TBUK3_038,0.3012,False,"groups, tower, tower block, local"
TBUK2_002,TBUK6_001,0.3012,True,"tower, blocks, tenants, tower blocks"
TBUK12_010,TBUK1054,0.3011,True,"psi, gas, blocks, bre"
VF_NEW_728_009,VF_NEW_728_017,0.3011,False,"ronan point, ronan, text summary, point"
TBUK5_007,WESA_13_1_022,0.3011,True,"joan, ronan point, ronan, evidence"
NTBTC_07,WESA_13_1_023,0.3011,True,"ronan, point, ronan point, inquiry"
TBUK15_041,TBUK15_046,0.301,False,"escape, means escape, areas, means"
TBUK4_009,TBUK4_036,0.301,False,"ledbury, ledbury estate, estate, resident project"
VF_NEW_728_043,VF_NEW_728_053,0.301,False,"damages, builders, visible text, visible"
NTBTC_07,VF_NEW_728_013,0.301,True,"ronan point, ronan, point, tenants"
TBUK1043,NTBTC_04,0.3009,True,"bre, ronan point, ronan, point"
IMG_0539,IMG_0560,0.3009,False,"exp, mix, gas, leak"
TBUK4_097,TBUK4_101,0.3009,False,"mm, panels, wall, wall panels"
TBUK2_002,TBUK6_019,0.3007,True,"tenants, tower, blocks, tower blocks"
TBUK4_173,TBUK4_183,0.3007,False,"arup, bromyard, ab, works"
IMG_0040,WESA_5_3_15,0.3006,True,"bre, ronan, ronan point, point"
TBUK15_025,TBUK2_003,0.3006,True,"blocks, safety, tower, sheffield"
VF_NEW_728_048,VF_NEW_728_057,0.3006,False,"text summary, visible text, summary, visible"
TBUK3_017,TBUK3_023,0.3006,False,"national, tower, information, directory"
UNCATALOGUED_02,WESA_13_1_047,0.3005,True,"did, building, point, like"
TBUK4_110,TBUK4_119,0.3004,False,"floors, wall, cross, walls"
TBUK4_139,NTBTC_03,0.3003,True,"access, papers, mr, inquiry"
TBUK1018,TBUK1041,0.3003,False,"families, government, young, houses"
VF_NEW_728_013,VF_NEW_728_051,0.3002,False,"ronan point, ronan, point, text summary"
TBUK4_068,TBUK4_111,0.3002,False,"walls, floor, accidental, failure"
TBUK3_016,TBUK3_017,0.3002,False,"conference, local, tower, issues"
WESA_13_1_017,WESA_13_1_051,0.3001,False,"mr, bowen, yes, page"
TBUK12_003,TBUK13_001,0.3001,True,"tower, blocks, tower blocks, tower block"
TBUK2_003,TBUK3_018,0.3,True,"directory, tower, information, tower blocks"
TBUK4_085,TBUK4_173,0.2999,False,"arup, arup report, works, report"
IMG_0171,WESA_4_3_04,0.2999,True,"sinclair point, handwritten, james sinclair, sinclair"
WESA4_1_ 11,WESA_7_1_12,0.2999,True,"bison, nottingham, faults, missing"
WESA4_1_ 07,WESA_7_1_04,0.2998,True,"bison, flats, association, tenants"
WESA14_01,WESA_13_1_047,0.2998,True,"did, building, point, like"
TBUK12_006,TBUK2_004,0.2998,True,"tower, tower blocks, blocks, network"
TBUK4_083,TBUK4_183,0.2997,False,"arup, residents, towers, cabinet"
TBUK1048,WESA_5_3_13,0.2997,True,"ronan point, ronan, point, collapse"
TBUK15_044,WESA14_01,0.2997,True,"ronan, point, ronan point, building"
TBUK15_036,TBUK15_039,0.2997,False,"escape, block, regulations, lobby"
VF_NEW_728_055,VF_NEW_728_061,0.2997,False,"text summary, relevant, ronan point, visible text"
TBUK4_082,TBUK4_164,0.2996,False,"ledbury, mike, mike tyrrell, tyrrell"
TBUK4_150,TBUK4_194,0.2996,False,"right return, council, return, alongside"
TBUK4_001,TBUK4_030,0.2996,False,"update, report, rpg, meeting"
TBUK13_001,TBUK2_001,0.2996,True,"tower, blocks, tower blocks, tenants"
TBUK4_026,TBUK4_030,0.2996,False,"update, report, rpg, meeting"
TBUK15_041,TBUK2_004,0.2996,True,"blocks, tower, safety, tower blocks"
TBUK4_180,TBUK4_181,0.2995,False,"ab, foundations, asked, building"
WESA14_01,WESA_5_4_02,0.2995,True,"building, point, ronan, ronan point"
TBUK15_009,TBUK1043,0.2995,True,"blocks, tower, network, tower blocks"
WESA_5_4_04,WESA_9_2_02,0.2995,True,"building, flat, floor, escape"
VF_NEW_728_032,VF_NEW_728_056,0.2995,False,"visible, high court, court, ronan point"
TBUK4_113,TBUK4_126,0.2995,False,"foundation, shear wall, shear, steel"
WESA_13_1_045,WESA_13_1_072,0.2994,False,"griffiths, mr, building, north"
TBUK15_056,TBUK2_001,0.2993,True,"tower, tower blocks, blocks, national tower"
WESA_13_1_059,WESA_13_1_061,0.2993,False,"smedley, pike, nut, fracture"
TBUK15_001,TBUK2_001,0.2993,True,"tower, tower blocks, blocks, national tower"
TBUK4_179,TBUK4_183,0.2992,False,"arup, ab, foundations, buildings"
TBUK4_217,TBUK7_002,0.2992,True,"large, large panel, panel, panel tower"
VF_NEW_728_062,VF_NEW_728_065,0.2991,False,"text, text summary, visible text, summary"
VF_NEW_728_027,VF_NEW_728_060,0.2989,False,"visible, partly, text, families"
TBUK12_006,TBUK2_008,0.2988,True,"tower, network, national tower, national"
TBUK4_134,TBUK4_145,0.2988,False,"know, ledbury, arup, soon possible"
TBUK4_051,TBUK4_063,0.2988,False,"external wall, external, wall, wall panels"
TBUK1036,WESA_13_1_022,0.2988,True,"ronan point, ronan, point, said"
TBUK6_005,WESA_5_3_15,0.2987,True,"ronan, ronan point, point, morris"
TBUK4_030,TBUK4_171,0.2987,False,"meeting, rpg, report, update"
WESA_13_1_017,WESA_13_1_069,0.2987,False,"ee, mr, phillips, wright"
NTBTC_01,NTBTC_09,0.2987,False,"ronan point, ronan, point, tenants"
WESA_5_4_02,UNCATALOGUED_02,0.2987,True,"building, point, ronan, ronan point"
TBUK4_041,TBUK4_105,0.2987,False,"disproportionate collapse, disproportionate, collapse, gas"
TBUK1043,WESA3_5_02,0.2986,True,"blocks, national tower, national, tower blocks"
TBUK4_030,TBUK4_033,0.2986,False,"cabinet, right return, return, residents"
VF_NEW_728_053,VF_NEW_728_056,0.2986,False,"high court, court, visible text, action"
TBUK4_083,TBUK4_085,0.2986,False,"arup, residents, report, blocks"
RP2_02,IMG_0165,0.2985,True,"tower, tower block, point rochester, rochester avenue"
TBUK4_030,TBUK4_088,0.2985,False,"cabinet, residents, options, ledbury"
TBUK1021,TBUK1025,0.2985,False,"tenants, campaign, housing, block tenants"
TBUK1025,TBUK3_032,0.2984,True,"tenants, newham, housing, chairperson"
TBUK4_025,TBUK4_162,0.2983,False,"gov, gov uk, ledbury, resident"
TBUK4_030,TBUK4_083,0.2983,False,"cabinet, residents, towers, options"
WESA_13_1_042,WESA_13_1_050,0.2983,False,"thet, explosion, hodge, yes"
TBUK5_007,NTBTC_07,0.2981,True,"ronan point, ronan, point, building"
TBUK4_161,TBUK4_225,0.2981,False,"ledbury, house, bromyard house, bromyard"
TBUK4_092,TBUK4_102,0.2979,False,"investigations, foundation, core, stair core"
VF_NEW_728_037,VF_NEW_728_048,0.2979,False,"text summary, site, visible text, summary"
VF_NEW_728_041,VF_NEW_728_055,0.2978,False,"ronan, builders, ronan point, pay"
WESA_13_1_049,WESA_13_1_064,0.2978,False,"goodfellow, eveleigh, griffiths, building"
WESA4_1_ 09,WESA_7_1_02,0.2978,True,"bison, association bison, national association, national"
WESA_5_3_06,WESA:9:1_01,0.2978,True,"morris walk, morris, walk, mr"
TBUK4_180,WESA_5_6_03,0.2977,True,"foundations, building, depth, deep"
TBUK4_135,TBUK4_145,0.2977,False,"work, housing modernisation, safety, continuing"
WESA4_1_ 07,WESA_2_1_02,0.2977,True,"bison, councils, council, problems"
TBUK4_064,TBUK4_101,0.2977,False,"wall, wall panels, panels, outer"
UNCATALOGUED_04,WESA_13_1_051,0.2976,True,"mr, point, building, ronan"
TBUK12_003,TBUK6_004,0.2976,True,"tenants, heating, blocks, tower"
TBUK4_001,TBUK4_031,0.2975,False,"rpg, meeting, options, option"
TBUK4_007,TBUK4_026,0.2975,False,"rpg, meeting, options, option"
WESA_13_1_060,WESA_13_1_066,0.2975,False,"goodfellow, griffiths, gas, evidence"
TBUK4_001,TBUK4_007,0.2975,False,"rpg, meeting, options, option"
TBUK1021,WESA_1_7_07,0.2975,True,"tenants, campaign, housing, block tenants"
TBUK4_026,TBUK4_031,0.2975,False,"rpg, meeting, options, option"
TBUK3_032,WESA_1_7_07,0.2974,True,"tenants, newham, housing, chairperson"
TBUK15_044,UNCATALOGUED_02,0.2974,True,"ronan, point, ronan point, building"
WESA16_01,WESA_13_1_051,0.2974,True,"mr, point, building, ronan"
WESA_13_1_032,WESA_13_1_042,0.2973,False,"yes, explosion, room, noise"
TBUK4_013,TBUK4_167,0.2973,False,"resident, ledbury, project group, resident project"
TBUK1048,WESA_5_3_15,0.2973,True,"ronan, ronan point, point, joints"
VF_NEW_728_017,VF_NEW_728_044,0.2972,False,"court, text summary, visible text, engineering"
WESA_5_3_07,WESA:9:1_01,0.2971,True,"morris walk, morris, walk, mr"
VF_NEW_728_019,VF_NEW_728_027,0.2971,False,"visible, fears, visible text, ronan point"
WESA_13_1_050,WESA_13_1_071,0.297,False,"hodge, goodfellow, gas, ee"
WESA_13_1_048,WESA_13_1_068,0.297,False,"ee, goodfellow, ee ee, got"
TBUK12_007,TBUK2_008,0.297,True,"tenants, tower, campaign, tower blocks"
WESA_7_1_05,WESA_7_1_08,0.2968,False,"bison, rise, report, nottingham"
WESA_5_3_15,WESA_8_1_04,0.2967,True,"public, engineering, inquiry, report"
TBUK4_085,TBUK4_178,0.2967,False,"arup, report, stair lift, arup report"
TBUK13_001,TBUK2_005,0.2965,True,"tower, blocks, housing, tower blocks"
TBUK5_010,NTBTC_07,0.2964,True,"point, ronan point, ronan, blocks"
TBUK4_087,TBUK4_152,0.2964,False,"residents, options, ledbury, consultation"
TBUK15_012,TBUK2_004,0.2964,True,"safety, tower, blocks, telephone"
VF_NEW_728_013,VF_NEW_728_061,0.2963,False,"point type, text summary, ronan point, visible text"
TBUK12_001,TBUK2_005,0.2963,True,"tower, problems, blocks, directory"
VF_NEW_728_027,VF_NEW_728_051,0.2963,False,"partly, visible text, visible, ronan point"
WESA_5_3_03,WESA_5_3_08,0.2963,False,"clay, woolwich, director housing, greenwich"
TBUK12_006,TBUK15_009,0.2963,True,"tower, network, tower blocks, national tower"
WESA_3_3_02,WESA_4_3_02,0.2963,True,"tenants, security, block, action"
IMG_0578,UNCATALOGUED_04,0.2962,True,"point, ronan point, ronan, mr"
TBUK4_178,TBUK4_179,0.2961,False,"ab, arup, report, looked"
TBUK1006,TBUK1009,0.2961,False,"rd, fig, diagrams title, drawn diagrams"
IMG_0578,WESA16_01,0.2961,True,"point, ronan point, ronan, mr"
WESA_13_1_045,WESA_13_1_064,0.296,False,"eveleigh, griffiths, goodfellow, building"
VF_NEW_728_019,VF_NEW_728_024,0.2959,False,"visible, ronan point, ronan, london"
HTBD_01,WESA_2_6_02,0.2959,True,"tenants, campaign, block tenants, newham"
TBUK4_063,TBUK4_094,0.2959,False,"disproportionate collapse, disproportionate, resistance, wall panels"
WESA_5_2_01,WESA_5_4_02,0.2959,True,"building, ceiling, flats, flat"
TBUK5_006,TBUK5_014,0.2958,False,"hartopp, lannoy, hartopp lannoy, lannoy point"
TBUK15_033,TBUK1043,0.2958,True,"tower, blocks, network, tower blocks"
TBUK4_057,TBUK4_068,0.2958,False,"phase, wall, ties, assessment"
TBUK4_169,TBUK4_170,0.2957,False,"ledbury, uk, southwark gov, gov"
VF_NEW_728_032,VF_NEW_728_041,0.2957,False,"ronan, damages, ronan point, point"
TBUK1003,TBUK1041,0.2957,False,"ronan, government, ronan point, point"
TBUK4_001,TBUK4_006,0.2956,False,"update, report, rpg, meeting"
TBUK4_006,TBUK4_026,0.2956,False,"update, report, rpg, meeting"
HTBD_02,WESA_2_1_06,0.2956,True,"rd, james sinclair, sinclair, james"
TBUK3_023,TBUK3_031,0.2956,False,"national, campaign, issue, level"
WESA_1_7_01,WESA_13_1_001,0.2955,True,"box, wesa, ronan point, ronan"
TBUK4_161,TBUK4_227,0.2954,False,"ledbury, house, bromyard house, bromyard"
VF_NEW_728_013,VF_NEW_728_022,0.2953,False,"ronan point, ronan, visible, point"
TBUK12_001,TBUK2_009,0.2953,True,"tower, blocks, tenants, groups"
TBUK12_010,WESA_8_1_03,0.2953,True,"glasgow, reema, psi, reema blocks"
TBUK4_009,TBUK4_149,0.2953,False,"ledbury, residents, ledbury estate, option"
VF_NEW_728_022,VF_NEW_728_051,0.2953,False,"visible, ronan point, ronan, text summary"
TBUK1041,TBUK1052,0.2953,False,"point, ronan point, ronan, building"
TBUK4_163,TBUK4_204,0.2952,False,"home, bidding, ledbury, application"
NTBTC_09,WESA_2_5_02,0.2952,True,"point, ronan point, ronan, point rochester"
TBUK4_036,TBUK4_167,0.2952,False,"resident, ledbury, project group, resident project"
TBUK4_167,TBUK4_187,0.2952,False,"resident, homes, cabinet, council"
TBUK15_007,TBUK15_034,0.2952,False,"merry hill, hill court, merry, hill"
TBUK15_010,TBUK15_012,0.2952,False,"properly, riser, vandalised, rubbish"
WESA_5_7_02,WESA_5_7_03,0.2952,False,"balloon wood, balloon, wood, dampness"
TBUK12_003,WESA_2_5_03,0.2952,True,"tower, blocks, tenants, tower block"
WESA_13_1_031,WESA_13_1_051,0.2951,False,"gas, mr, yes, point"
TBUK2_005,WESA_2_5_03,0.2951,True,"tower, tenants, blocks, local"
TBUK5_007,WESA_1_12_02,0.2951,True,"ronan point, ronan, point, evidence"
TBUK15_003,TBUK3_023,0.295,True,"national, tower, groups, problems"
TBUK4_048,TBUK4_094,0.295,False,"wind, disproportionate, disproportionate collapse, collapse"
WESA4_1_ 06,WESA_7_1_08,0.295,True,"bison, fell, panel, concrete"
TBUK4_082,TBUK4_167,0.295,False,"options, ledbury, options appraisal, appraisal"
TBUK4_025,TBUK4_033,0.295,False,"cabinet, led bury, ledbury, bury"
TBUK12_007,WESA_2_5_03,0.2949,True,"tower, campaign, tenants, blocks"
TBUK4_063,TBUK4_080,0.2949,False,"external wall, wall, external, wall panels"
IMG_0554,IMG_0556,0.2949,False,"july, dept, eng, june"
TBUK2_009,HTBD_01,0.2949,True,"tenants, tower, blocks, block"
WESA_5_3_14,WESA_5_4_03,0.2949,True,"wesa, webb, report, sam webb"
TBUK4_208,TBUK4_247,0.2948,False,"arup, residents, southwark, tra"
TBUK4_006,TBUK4_171,0.2947,False,"meeting, rpg, report, update"
TBUK4_006,TBUK4_033,0.2947,False,"cabinet, right return, return, residents"
TBUK1055,NTBTC_07,0.2947,True,"ronan point, ronan, point, inquiry"
TBUK4_139,NTBTC_02,0.2946,True,"mr, inquiry, spearing, public"
TBUK4_055,TBUK4_095,0.2946,False,"investigations, house, bromyard house, disproportionate collapse"
TBUK4_006,TBUK4_088,0.2946,False,"cabinet, residents, options, ledbury"
WESA_1_9_01,WESA_13_1_026,0.2946,True,"wesa, box, sam webb, webb"
WESA_2_1_01,WESA_5_4_05,0.2946,True,"wesa, box, note, sam webb"
TBUK3_021,WESA_2_5_03,0.2945,True,"tower, groups, tower block, block"
WESA_5_4_05,WESA_13_1_026,0.2945,True,"wesa, box, note, sam webb"
TBUK15_001,TBUK2_002,0.2945,True,"tower, blocks, tower blocks, national tower"
TBUK4_025,TBUK4_163,0.2945,False,"ledbury, towers, uk, gov"
TBUK4_152,TBUK4_168,0.2945,False,"options, ledbury, options appraisal, appraisal"
WESA_9_2_02,WESA_13_1_051,0.2945,True,"building, point, flat, floor"
TBUK15_056,TBUK2_002,0.2945,True,"tower, blocks, tower blocks, national tower"
VF_NEW_728_017,VF_NEW_728_063,0.2945,False,"text summary, visible text, summary, visible"
TBUK5_007,WESA_5_3_13,0.2944,True,"ronan point, ronan, point, report"
TBUK1052,TBUK2_010,0.2944,True,"blocks, tower, block, tenants"
TBUK4_047,TBUK4_231,0.2944,False,"ledbury, taylor woodrow, woodrow, taylor"
TBUK7_002,RP1_01,0.2943,True,"large, large panel, blocks, panel"
TBUK4_006,TBUK4_083,0.2943,False,"cabinet, residents, towers, options"
TBUK1052,TBUK2_002,0.2943,True,"tenants, blocks, tower, block"
TBUK4_139,WESA_5_3_15,0.2942,True,"mr, files, webb, inquiry"
WESA_10_2_02,WESA_7_1_08,0.2941,True,"bison, councils, defects, problems"
TBUK4_110,TBUK4_112,0.2941,False,"floors, loss, walls, withstand"
TBUK4_165,TBUK4_208,0.294,False,"southwark gov, gov, gov uk, southwark"
TBUK4_143,TBUK4_144,0.2939,False,"compartmentation, july, lfb, arup"
WESA_13_1_056,WESA_13_1_061,0.2939,False,"griffiths, pike, gas, eveleigh"
TBUK15_001,TBUK6_001,0.2939,True,"tower, national, national tower, tower blocks"
TBUK4_140,TBUK4_239,0.2939,False,"council, residents, concerns, safety"
WESA_13_1_048,WESA_13_1_071,0.2939,False,"goodfellow, ee, thought, griffiths"
TBUK15_056,TBUK6_001,0.2939,True,"tower, national, national tower, tower blocks"
TBUK15_009,TBUK15_012,0.2938,False,"tower, safety, blocks, safety tower"
TBUK1030,TBUK4_063,0.2937,True,"joints, wall, panels, strengthening"
VF_NEW_728_019,VF_NEW_728_022,0.2937,False,"visible, ronan point, ronan, text summary"
TBUK15_033,IMG_0039,0.2937,True,"london borough, borough, london, tower"
UNCATALOGUED_02,WESA_13_1_025,0.2937,True,"fairweather, day, building, public"
WESA_1_9_01,WESA_5_4_03,0.2937,True,"wesa, box, sam webb, webb"
TBUK4_096,TBUK4_113,0.2937,False,"reinforcement, wall, panels, steel"
TBUK15_030,TBUK2_006,0.2935,True,"tower blocks, tower, blocks, national tower"
NTBTC_06,RP1_01,0.2935,True,"ronan point, ronan, point, gas"
TBUK15_009,TBUK15_035,0.2933,False,"tower, london borough, kedge house, kedge"
TBUK12_009,TBUK2_009,0.2933,True,"tenants, blocks, heating, groups"
TBUK1025,TBUK3_040,0.2933,True,"tenants, newham, housing, chairperson"
