doc_a,doc_b,similarity,cross_archive,shared_terms
TBUK4_002,TBUK4_027,1.0,False,"calford seaden, calford, seaden, rpg"
TBUK4_008,TBUK4_032,1.0,False,"pt, rpg, supervisor, eb"
TBUK15_001,TBUK15_056,1.0,False,"network, blocks network, national tower, tower blocks"
TBUK4_003,TBUK4_004,1.0,False,"cost, programme, rpg, works"
TBUK4_001,TBUK4_026,1.0,False,"update, meeting, report, update report"
WESA_1_10_18,WESA_1_11_07,1.0,True,"bylaws, flat, loadbearing, building"
TBUK4_011,TBUK4_034,1.0,False,"development, potential, boundary, house"
TBUK4_007,TBUK4_031,1.0,False,"rpg, asked, options, council"
WESA16_01,UNCATALOGUED_04,0.9997,True,"point, ronan, ronan point, building"
WESA14_01,UNCATALOGUED_02,0.9996,True,"ronan, point, ronan point, fairweather"
TBUK4_241,TBUK4_243,0.999,False,"properties, maisonettes, ground floor, bedroomed"
TBUK4_005,TBUK4_029,0.999,False,"bedroom, london plan, plan standards, bedroom bedroom"
TBUK3_033,TBUK3_041,0.9989,False,"newham, association, mr, community"
TBUK4_188,TBUK4_198,0.9988,False,"homes, new homes, leaseholders, towers"
TBUK4_225,TBUK4_227,0.9987,False,"film, row, consultation, responses"
WESA_1_10_15,WESA_1_11_04,0.9986,True,"crack, flat, child, tenancy"
WESA_1_10_13,WESA_1_11_02,0.998,True,"client, hereward, foster, act"
WESA_1_10_16,WESA_1_11_05,0.9974,True,"proceedings, foster, hereward, meekings"
TBUK1025,WESA_1_7_07,0.9967,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK4_006,TBUK4_030,0.9956,False,"mt, leaseholders, ballot, tenants right"
WESA_1_10_17,WESA_1_11_06,0.9947,True,"mm, resistance, remedial, leakage"
TBUK4_153,TBUK4_158,0.9924,False,"urgent, residents, ledbury estate, blocks"
TBUK4_004,TBUK4_028,0.9919,False,"cost, programme, rpg, works"
TBUK4_003,TBUK4_028,0.9919,False,"cost, programme, rpg, works"
WESA_1_10_14,WESA_1_11_03,0.9886,True,"foster, hereward, meekings, copy"
TBUK4_082,TBUK4_152,0.9879,False,"options, ledbury, hunters, mike tyrrell"
WESA_1_7_07,WESA_2_6_02,0.9849,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK1025,WESA_2_6_02,0.9819,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK3_032,TBUK3_040,0.9817,False,"newham, association, tenants, tenants association"
TBUK4_013,TBUK4_036,0.98,False,"works, resident, ledbury estate, resident project"
TBUK4_162,TBUK4_169,0.9666,False,"resident, services officer, resident services, oxygen"
TBUK4_197,TBUK4_203,0.9541,False,"mike tyrrell, tyrrell, ledbury resident, ledbury"
RP2_02,WESA_2_5_02,0.9519,True,"creative, victory, point rochester, rochester avenue"
WESA_5_3_06,WESA_5_3_07,0.9515,False,"morris walk, morris, walk, housing services"
TBUK4_010,TBUK4_033,0.9488,False,"charges, right return, cabinet, return"
TBUK4_077,TBUK4_078,0.9468,False,"surfaces, strengthening, drawing, steel"
TBUK4_163,TBUK4_170,0.9463,False,"ledbury, neal, properties, team"
TBUK3_021,TBUK3_022,0.9375,False,"groups, campaigns, community flats, party"
TBUK4_027,TBUK4_177,0.9332,False,"calford, calford seaden, seaden, rpg"
TBUK4_002,TBUK4_177,0.9332,False,"calford, calford seaden, seaden, rpg"
TBUK6_010,TBUK6_011,0.9212,False,"hour, wall, timber, details"
WESA_9_3_01,WESA_9_4_01,0.8917,True,"articles, dad, wesa, box"
TBUK4_012,TBUK4_035,0.886,False,"boundary, option appraisal, appraisal, option"
TBUK4_238,TBUK4_239,0.8817,False,"council, residents, leaders, council officers"
WESA_13_1_001,WESA_13_1_026,0.8784,False,"wesa, marked, projector, joan littlewood"
TBUK4_015,TBUK4_038,0.8705,False,"estate rpg, rpg, ledbury estate, ledbury"
TBUK15_017,TBUK15_054,0.8548,False,"alarms, smoke alarms, smoke, alarm"
TBUK1010,TBUK1016,0.8406,False,"dia, anchor, phillips, angle"
TBUK4_014,TBUK4_037,0.8387,False,"estate rpg, rpg, ledbury estate, ledbury"
TBUK1054,RP1_01,0.8378,True,"bre, ronan point, ronan, blocks"
TBUK4_195,TBUK4_201,0.8331,False,"report leak, leak, resolved, house"
TBUK1013,TBUK1014,0.8316,False,"placed, polystyrene, site, mortar"
TBUK1006,TBUK1014,0.8307,False,"placed, polystyrene, site, mortar"
TBUK4_167,TBUK4_192,0.8265,False,"homes, council, response southwark, ledbury"
TBUK4_037,TBUK4_038,0.8255,False,"estate rpg, rpg, led bury, bury estate"
TBUK12_001,TBUK12_005,0.8243,False,"directory, problems, questionnaire, groups"
TBUK1010,TBUK1015,0.8204,False,"dia, bolt, anchor, phillips"
TBUK4_168,TBUK4_194,0.8118,False,"homes, response southwark, right return, options"
TBUK4_014,TBUK4_015,0.8029,False,"estate rpg, rpg, ledbury estate, ledbury"
TBUK1055,NTBTC_03,0.7981,True,"tribunal, papers, access, members tribunal"
VF_NEW_728_022,VF_NEW_728_059,0.7933,False,"barrier, expert, attacks, visible"
TBUK15_022,TBUK15_036,0.789,False,"regulations, inner london, height, london"
TBUK4_172,TBUK4_177,0.787,False,"rpg, sharon, calford, calford seaden"
TBUK4_195,TBUK4_202,0.7803,False,"report leak, leak, resolved, affecting"
TBUK1015,TBUK1016,0.7776,False,"dia, anchor, consulting engineers, snow"
TBUK6_010,WESA_5_4_06,0.774,True,"ds, timber, hour, wall"
TBUK1006,TBUK1017,0.7661,False,"placed, polystyrene, mortar, lime"
TBUK15_038,TBUK15_048,0.765,False,"sporle court, sporle, court, escape"
TBUK15_039B,TBUK15_052,0.7607,False,"lobby, lobbies, escape, materials used"
VF_NEW_728_017,VF_NEW_728_022,0.7548,False,"findings, barrier, expert, attacks"
TBUK4_164,TBUK4_165,0.7507,False,"southwark gov, gov uk, gov, uk"
WESA_13_1_050,WESA_13_1_051,0.7507,False,"hodge, eve, sur, went"
UNCATALOGUED_01,UNCATALOGUED_03,0.7445,False,"draft, ronan point, interim, handwritten"
TBUK4_073,TBUK4_075,0.7422,False,"type type, type, level, wall"
TBUK4_027,TBUK4_172,0.7416,False,"rpg, sharon, calford, calford seaden"
TBUK4_002,TBUK4_172,0.7416,False,"rpg, sharon, calford, calford seaden"
TBUK15_024,TBUK15_024B,0.7389,False,"blocks demolished, campaign tenants, campaigned, successfully"
TBUK4_226,TBUK4_242,0.7375,False,"oxygen, use oxygen, oxygen cylinder, viewing"
TBUK4_167,TBUK4_168,0.7281,False,"response southwark, homes, council, ledbury"
TBUK4_026,TBUK4_171,0.7254,False,"meeting, update, report, rpg"
TBUK4_001,TBUK4_171,0.7254,False,"meeting, update, report, rpg"
TBUK6_011,WESA_5_4_06,0.7234,True,"hour, timber, ds, wall"
WESA_1_9_02,WESA_13_1_042,0.7159,True,"living room, explosion, wall, room"
TBUK4_074,TBUK4_076,0.7137,False,"cross wall, wall, drawing, finishes"
TBUK5_006,WESA_1_10_05,0.7116,True,"hartopp, structural engineer, lannoy, chief structural"
WESA_5_3_02,WESA_5_3_03,0.7092,False,"feb, education, county, greenwich"
TBUK1006,TBUK1013,0.7091,False,"placed, polystyrene, site, mortar"
TBUK4_039,TBUK4_091,0.7068,False,"party, arup, united, client"
TBUK1014,TBUK1017,0.6979,False,"placed, polystyrene, mortar, site"
TBUK4_168,TBUK4_193,0.6941,False,"response southwark, appraisal process, appraisal, options"
WESA_4_8_02,WESA_4_8_03,0.6915,False,"transfer, applied, pellant road, pellant"
WESA_7_1_13,WESA_7_1_14,0.691,False,"cb, birmingham cb, cb birmingham, birmingham"
TBUK4_074,TBUK4_075,0.6814,False,"ground level, level, strengthening, wall"
TBUK4_014,TBUK4_038,0.6765,False,"estate rpg, rpg, ledbury estate, ledbury"
TBUK4_167,TBUK4_193,0.6716,False,"response southwark, council, appraisal, consultation options"
TBUK4_015,TBUK4_037,0.6688,False,"estate rpg, rpg, ledbury estate, ledbury"
WESA_13_1_045,WESA_13_1_069,0.6655,False,"north, did, goodfellow, ee"
TBUK2_001,TBUK2_002,0.661,False,"tenants, tower, blocks, children"
TBUK4_073,TBUK4_074,0.6606,False,"type type, level, strengthening, wall"
WESA_5_4_02,WESA_5_4_04,0.6592,False,"false ceiling, false, lakanal, ceiling"
WESA_5_4_01,WESA_5_4_03,0.658,False,"sceaux gardens, sceaux, wesa, gardens"
WESA_5_4_03,WESA_5_4_05,0.6518,False,"sceaux, sceaux gardens, wesa, gardens"
TBUK15_037,TBUK15_044,0.651,False,"kedge, kedge house, house, twa"
TBUK2_001,WESA_3_3_02,0.6503,True,"tenants, tower, blocks, security"
TBUK15_037B,TBUK15_046,0.6497,False,"doors, escape, public areas, means escape"
VF_NEW_728_007,VF_NEW_728_015,0.6487,False,"reverse, body, text, visible"
VF_NEW_728_017,VF_NEW_728_059,0.6461,False,"barrier, attacks, findings, point report"
TBUK3_024,TBUK3_040,0.6455,False,"association, newham, tenants association, tenants"
WESA_4_3_02,WESA_4_3_03,0.6455,False,"james sinclair, sinclair, sinclair point, james"
TBUK3_028,TBUK3_041,0.6445,False,"newham, association, community association, community"
TBUK3_028,TBUK3_033,0.6438,False,"newham, association, community association, community"
TBUK4_196,TBUK4_197,0.6421,False,"ledbury resident, resident project, project group, tuesday"
TBUK4_076,TBUK4_079,0.6418,False,"wall, cross wall, cross, strengthening"
TBUK15_052,TBUK15_053,0.6291,False,"lobby, escape, lobbies, chap iv"
TBUK2_003,WESA_3_3_02,0.6289,True,"tenants, blocks, tower, security"
WESA_1_12_02,WESA14_01,0.6284,True,"ronan, ronan point, point, fairweather"
TBUK3_024,TBUK3_032,0.6269,False,"association, newham, tenants association, tenants"
WESA_1_12_02,UNCATALOGUED_02,0.6262,True,"ronan, ronan point, point, fairweather"
TBUK4_186,TBUK4_187,0.6245,False,"kw, said, resident, residents"
NTBTC_01,WESA_2_6_02,0.6245,True,"tenants, campaign, meeting, ronan point"
TBUK4_042,TBUK4_054,0.6229,False,"phase, assessment, gas, gas explosion"
TBUK3_026,TBUK3_032,0.6218,False,"newham, association, tower hamlets, hamlets"
TBUK2_006,WESA_3_3_02,0.6205,True,"tenants, security, tower, blocks"
TBUK3_026,TBUK3_040,0.6196,False,"newham, association, tower hamlets, hamlets"
WESA_5_3_13,WESA_5_3_15,0.6183,False,"morris, morris walk, walk, ronan"
WESA_5_3_13,WESA:9:1_01,0.6181,True,"morris walk, morris, walk, ronan"
TBUK4_192,TBUK4_198,0.6172,False,"homes, towers, council, ledbury towers"
TBUK4_188,TBUK4_192,0.6158,False,"homes, towers, council, ledbury towers"
WESA4_1_ 06,WESA4_1_ 10,0.6139,False,"bison, nabt, panel, spokesperson"
TBUK2_001,TBUK2_003,0.6097,False,"tenants, tower, blocks, tower blocks"
TBUK4_080,TBUK4_081,0.6081,False,"external wall, wall, external, drawing"
TBUK2_002,WESA_3_3_02,0.6073,True,"tenants, blocks, tower, tower blocks"
TBUK4_074,TBUK4_078,0.6069,False,"strengthening, drawing, title, finishes"
NTBTC_01,WESA_1_7_07,0.6059,True,"tenants, campaign, meeting, ronan point"
TBUK3_027,TBUK3_040,0.6048,False,"newham, association, councillor, housing department"
TBUK1025,NTBTC_01,0.6033,True,"tenants, campaign, meeting, ronan point"
TBUK2_009,TBUK2_010,0.6025,False,"blocks, tenants, council, tel contact"
TBUK1046,TBUK1048,0.6,False,"demolition, ronan point, ronan, research"
TBUK4_196,TBUK4_203,0.5974,False,"ledbury resident, resident project, project group, tuesday"
NTBTC_04,RP1_01,0.597,True,"bre, ronan point, ronan, point"
WESA4_1_ 12,WESA_7_1_02,0.597,True,"bison, national association, association bison, bison tenants"
TBUK4_162,TBUK4_242,0.5965,False,"oxygen, ledbury, use oxygen, oxygen cylinder"
TBUK4_167,TBUK4_194,0.5936,False,"homes, response southwark, council, options"
TBUK1013,TBUK1017,0.5896,False,"placed, polystyrene, mortar, site"
TBUK4_040,TBUK4_054,0.589,False,"assessment, phase, disproportionate collapse, disproportionate"
TBUK2_001,TBUK2_004,0.5885,False,"tenants, tower, blocks, tower blocks"
TBUK4_088,TBUK4_199,0.5883,False,"report, ledbury towers, ledbury, options appraisal"
TBUK2_002,TBUK2_004,0.5869,False,"tenants, blocks, tower, tower blocks"
TBUK3_027,TBUK3_032,0.5838,False,"newham, association, councillor, housing department"
WESA_13_1_062,WESA_13_1_063,0.5837,False,"vw, vws, jl, goodfellow"
WESA_7_1_14,WESA_7_1_15,0.5797,False,"lb, cb, bc, brent"
TBUK15_040,TBUK15_053,0.5789,False,"escape, chap iv, doors, chap"
TBUK4_169,TBUK4_242,0.5789,False,"oxygen, use oxygen, oxygen cylinder, resident"
TBUK3_027,TBUK3_041,0.5787,False,"newham, association, labour party, community"
TBUK3_027,TBUK3_033,0.578,False,"newham, association, labour party, community"
TBUK4_167,TBUK4_198,0.5776,False,"homes, council, ledbury, cabinet"
TBUK4_167,TBUK4_188,0.5769,False,"homes, council, ledbury, cabinet"
TBUK4_074,TBUK4_079,0.5761,False,"wall, strengthening, cross wall, drawing"
TBUK2_004,WESA_3_3_02,0.575,True,"tenants, blocks, tower, safety"
TBUK4_061,TBUK4_062,0.575,False,"wall, panel, walls, wall panel"
TBUK3_033,TBUK3_040,0.5742,False,"newham, association, tenants, tenants association"
WESA_13_1_068,WESA_13_1_069,0.573,False,"ee, ee ee, goodfellow, jl"
TBUK3_040,TBUK3_041,0.5727,False,"newham, association, tenants, tenants association"
TBUK3_032,TBUK3_033,0.5717,False,"newham, association, tenants, tenants association"
TBUK4_074,TBUK4_077,0.5711,False,"strengthening, drawing, house, title"
HTBD_04,VF_NEW_728_036,0.5707,True,"road, point, street, butchers road"
TBUK3_032,TBUK3_041,0.5703,False,"newham, association, tenants, tenants association"
WESA_1_7_01,WESA_1_9_01,0.5702,True,"materials, box, wesa, ronan point"
WESA4_1_ 07,WESA_10_2_02,0.569,True,"bison, councils, problems, conference"
TBUK4_050,TBUK4_051,0.5669,False,"external wall, external, wall panels, panels"
TBUK4_192,TBUK4_194,0.5659,False,"homes, response southwark, council, response"
TBUK4_077,TBUK4_080,0.5653,False,"drawing, house, steel, layout"
TBUK5_007,WESA_13_1_023,0.5647,True,"joan, evidence, gf, littlewood"
TBUK1052,NTBTC_01,0.5641,True,"ronan point, ronan, point, campaign"
TBUK15_009,TBUK2_004,0.5631,True,"tower, blocks, safety, tower blocks"
WESA_13_1_002,WESA_13_1_023,0.5631,False,"joan, theatre, gerry, littlewood"
TBUK4_168,TBUK4_192,0.5625,False,"homes, response southwark, council, ledbury"
TBUK4_056,TBUK4_071,0.5622,False,"criterion, lps criterion, lps, ties"
WESA_1_9_02,WESA_13_1_048,0.5617,True,"husband, flat, yes, door"
WESA_13_1_067,WESA_13_1_068,0.5598,False,"bowen, goodfellow, continued, ee"
TBUK2_001,TBUK2_006,0.559,False,"tenants, tower, blocks, tower blocks"
TBUK2_002,TBUK2_003,0.559,False,"tenants, blocks, tower, tower blocks"
IMG_0013,IMG_0014,0.5586,False,"bangs, edward, anne, carol"
TBUK15_039,TBUK15_051,0.558,False,"doors, open, flats, vandalism"
WESA_5_4_01,WESA_5_4_05,0.5557,False,"sceaux, sceaux gardens, wesa, gardens"
TBUK2_003,TBUK2_006,0.5542,False,"tenants, tower, blocks, security"
TBUK15_043,TBUK15_046,0.5535,False,"doors, escape, broken, areas"
TBUK4_201,TBUK4_202,0.5529,False,"report leak, leak, resolved, affecting"
TBUK3_017,TBUK3_038,0.5528,False,"national, conference, people, tower"
WESA4_1_ 10,WESA4_1_ 12,0.5527,False,"bison, nabt, bison flats, government"
TBUK4_078,TBUK4_080,0.5523,False,"drawing, steel, layout, title"
WESA_4_3_02,WESA_4_3_04,0.5523,False,"sinclair point, james sinclair, sinclair, james"
TBUK4_074,TBUK4_080,0.5503,False,"wall, drawing, title, finishes"
VF_NEW_728_024,VF_NEW_728_025,0.5501,False,"community, point disaster, redevelopment, housing association"
NTBTC_07,UNCATALOGUED_04,0.5492,True,"point, ronan point, ronan, building"
NTBTC_07,WESA16_01,0.549,True,"point, ronan point, ronan, building"
TBUK2_002,TBUK2_006,0.5468,False,"tenants, blocks, tower, tower blocks"
WESA_5_2_01,WESA_5_2_02,0.5452,False,"wall, drypack, gable, gable end"
RP1_01,WESA_5_3_15,0.5446,True,"lpg, ronan, ronan point, point"
VF_NEW_728_029,VF_NEW_728_041,0.544,False,"copy, foot, repair, taylor woodrow"
TBUK3_025,TBUK3_027,0.5436,False,"newham, department newham, department, london"
TBUK3_024,TBUK3_033,0.5402,False,"newham, association, tenants association, tenants"
TBUK2_003,TBUK2_004,0.5397,False,"tenants, blocks, tower, tower blocks"
TBUK3_024,TBUK3_041,0.5381,False,"newham, association, tenants association, tenants"
TBUK4_076,TBUK4_080,0.5368,False,"wall, drawing, wall panel, title"
TBUK15_040,TBUK15_043,0.5361,False,"escape, broken, doors, lobbies"
TBUK3_011,TBUK3_038,0.5348,False,"national, tower, conference, tower block"
WESA4_1_ 06,WESA4_1_ 12,0.5347,False,"bison, nabt, national, action"
WESA_13_1_045,WESA_13_1_071,0.5329,False,"griffiths, goodfellow, ee, dry"
WESA_1_9_02,WESA_13_1_047,0.5325,True,"yes, saw, did, bang"
WESA_13_1_022,WESA_13_1_023,0.532,False,"joan, inquiry, littlewood, joan littlewood"
TBUK2_002,TBUK2_010,0.5317,False,"tenants, blocks, tower, children"
WESA_1_10_16,WESA_1_11_03,0.5311,True,"foster, hereward, meekings, david foster"
TBUK4_041,TBUK4_054,0.5304,False,"disproportionate collapse, disproportionate, assessment, collapse"
WESA_13_1_002,WESA_13_1_005,0.5303,False,"theatre, war, joan, write"
WESA4_1_ 07,WESA4_1_ 10,0.5299,False,"bison, councils, problems, bison blocks"
WESA_13_1_068,WESA_13_1_071,0.5292,False,"ee, goodfellow, griffiths, ee ee"
TBUK3_018,TBUK3_039,0.5281,False,"directory, information, national, tower"
WESA_1_10_14,WESA_1_10_16,0.5274,False,"foster, hereward, meekings, david foster"
WESA_1_11_03,WESA_1_11_05,0.5269,False,"foster, hereward, meekings, david foster"
NTBTC_07,WESA14_01,0.5267,True,"ronan, point, ronan point, building"
WESA_5_2_04,WESA_5_2_05,0.5266,False,"calor, calor gas, gas, report"
WESA4_1_ 12,WESA_10_2_02,0.5266,True,"bison, councils, tenants, problems"
WESA4_1_ 10,WESA_10_2_02,0.526,True,"bison, bison flats, problems, councils"
WESA_1_12_02,UNCATALOGUED_04,0.5246,True,"point, ronan point, ronan, panels"
WESA_1_12_02,WESA16_01,0.5244,True,"point, ronan point, ronan, panels"
WESA_13_1_047,WESA_13_1_048,0.5243,False,"yes, bang, saw, ee"
TBUK4_015,TBUK4_200,0.5237,False,"rpg, estate rpg, ledbury, ledbury estate"
TBUK4_078,TBUK4_079,0.5236,False,"slab, strengthening, drawing, floor"
NTBTC_07,WESA_1_12_02,0.5223,True,"ronan point, ronan, point, collapse"
WESA_13_1_029,WESA_13_1_030,0.5221,False,"thomas, shop, mr thomas, mr"
TBUK4_119,TBUK4_120,0.5218,False,"add, wall floor, wall, cross"
NTBTC_07,UNCATALOGUED_02,0.5212,True,"ronan, point, ronan point, building"
WESA_13_1_066,WESA_13_1_068,0.5208,False,"ee, bowen, goodfellow, continued"
TBUK3_026,TBUK3_027,0.5207,False,"newham, housing department, department, association"
WESA:1:15_01,WESA_13_1_023,0.5183,True,"joan, theatre, said, ronan"
WESA_5_3_15,UNCATALOGUED_04,0.5182,True,"point, ronan, ronan point, morris"
WESA_1_10_14,WESA_1_11_05,0.5178,True,"foster, hereward, meekings, david foster"
WESA_13_1_051,WESA_13_1_052,0.5171,False,"hodge, eveleigh, goodfellow, griffiths"
WESA16_01,WESA_5_3_15,0.5169,True,"point, ronan, ronan point, morris"
WESA_13_1_002,WESA_13_1_022,0.5167,False,"joan, went, transcript, littlewood"
TBUK15_040,TBUK15_041,0.5162,False,"escape, means escape, fails, lobbies"
WESA_5_3_13,UNCATALOGUED_04,0.5158,True,"point, ronan point, ronan, morris walk"
WESA16_01,WESA_5_3_13,0.5157,True,"point, ronan point, ronan, morris walk"
VF_NEW_728_041,VF_NEW_728_043,0.5154,False,"damages, copy, builders, story"
TBUK3_024,TBUK3_026,0.5151,False,"newham, association, tower hamlets, hamlets"
TBUK4_014,TBUK4_200,0.5146,False,"rpg, estate rpg, ledbury, ledbury estate"
WESA14_01,UNCATALOGUED_04,0.5143,True,"point, ronan, ronan point, building"
WESA4_1_ 07,WESA4_1_ 12,0.514,False,"bison, councils, nabt, problems"
TBUK15_040,TBUK15_052,0.5136,False,"escape, lobbies, lobby, means escape"
WESA14_01,WESA16_01,0.5134,True,"point, ronan, ronan point, building"
WESA_5_3_15,WESA:9:1_01,0.5132,True,"morris, morris walk, walk, ronan"
TBUK3_027,TBUK3_028,0.5127,False,"newham, association, department newham, housing department"
TBUK1009,TBUK1011,0.5126,False,"woodrow anglian, anglian, taylor woodrow, woodrow"
TBUK4_230,TBUK7_002,0.5126,True,"panel tower, large, large panel, blocks"
WESA_13_1_069,WESA_13_1_071,0.5123,False,"ee, goodfellow, continued, did"
TBUK4_009,TBUK4_199,0.5123,False,"ledbury, report, item, ledbury towers"
UNCATALOGUED_02,UNCATALOGUED_04,0.5111,False,"point, ronan, ronan point, building"
WESA16_01,UNCATALOGUED_02,0.5102,True,"point, ronan, ronan point, building"
TBUK2_001,TBUK2_010,0.509,False,"tenants, children, blocks, tower"
WESA_5_3_11,WESA_5_3_13,0.5088,False,"morris walk, morris, walk, ronan point"
TBUK4_096,TBUK4_100,0.5084,False,"panels, reinforcement, investigations, carbonation"
WESA_7_1_02,WESA_7_1_06,0.5082,False,"bison, bison group, concrete, group"
TBUK4_163,TBUK4_226,0.5072,False,"ledbury, date, allocated, properties"
TBUK12_001,TBUK3_018,0.5064,True,"directory, information, tower, include"
TBUK3_028,TBUK3_040,0.506,False,"association, newham, tenants association, tenants"
TBUK15_039B,TBUK15_040,0.506,False,"escape, lobbies, lobby, means escape"
VF_NEW_728_022,VF_NEW_728_049,0.5043,False,"visible, findings, criticism, ronan point"
TBUK1057,WESA_1_7_05,0.5024,True,"illegible illegible, illegible, ronan, house"
TBUK2_005,WESA_3_3_02,0.5014,True,"tenants, blocks, tower, ideas"
TBUK1036,WESA_1_12_02,0.5013,True,"ronan point, ronan, point, said"
TBUK2_005,TBUK2_006,0.5012,False,"tenants, tower, blocks, overcladding"
TBUK3_028,TBUK3_032,0.5009,False,"association, newham, tenants association, tenants"
WESA4_1_ 03,WESA_7_1_02,0.5004,True,"bison, bison tenants, tenants, tenants national"
TBUK4_069,TBUK4_070,0.5002,False,"wall, floor, figure, highlighted"
TBUK1036,WESA14_01,0.4965,True,"ronan, point, ronan point, like"
WESA_10_2_02,WESA_7_1_02,0.4961,True,"bison, tenants, councils, association bison"
TBUK2_002,TBUK2_009,0.496,False,"tenants, blocks, tower, council"
TBUK15_006,TBUK15_034,0.4957,False,"hill court, merry hill, merry, hill"
TBUK2_004,TBUK2_006,0.4951,False,"tenants, blocks, tower, tower blocks"
WESA_13_1_045,WESA_13_1_049,0.4951,False,"griffiths, goodfellow, vw, mr"
TBUK4_147,TBUK4_165,0.4946,False,"southwark gov, gov, gov uk, uk"
TBUK1036,UNCATALOGUED_02,0.4943,True,"ronan, point, ronan point, like"
WESA4_1_ 03,WESA4_1_ 06,0.4938,False,"bison, spokesperson, nabt, action"
TBUK2_003,TBUK2_005,0.4924,False,"tenants, tower, blocks, housing"
TBUK15_037,TBUK15_045,0.4916,False,"kedge, kedge house, flats, twa"
WESA_5_3_09,WESA_5_3_13,0.4911,False,"morris walk, morris, walk, point"
TBUK15_036,TBUK15_042,0.491,False,"blocks, regulations, escape, chap iv"
TBUK4_025,TBUK4_089,0.4907,False,"http, gov, gov uk, ledbury"
TBUK4_089,TBUK4_165,0.4904,False,"southwark gov, gov, gov uk, uk"
TBUK4_013,TBUK4_014,0.4901,False,"ledbury estate, ledbury, estate, rpg"
WESA_13_1_066,WESA_13_1_071,0.49,False,"goodfellow, ee, continued, gas"
VF_NEW_728_049,VF_NEW_728_050,0.4898,False,"point, ronan point, ronan, text summary"
TBUK4_207,TBUK4_208,0.4895,False,"presentation, gerri, gerri scott, meeting"
TBUK4_043,TBUK4_055,0.4894,False,"phase, house, bedroom flats, durability"
TBUK4_103,TBUK4_113,0.4887,False,"shear wall, raft, shear, foundation"
WESA_13_1_070,WESA_13_1_071,0.488,False,"goodfellow, ministry, griffiths, continued"
TBUK4_117,TBUK4_119,0.4878,False,"add, typical, floors, walls floors"
WESA4_1_ 06,WESA4_1_ 07,0.4872,False,"bison, bison blocks, action, nabt"
TBUK4_168,TBUK4_188,0.4871,False,"homes, ledbury, right return, council"
NTBTC_08,VF_NEW_728_047,0.487,True,"hume point, hume, point, ronan point"
TBUK4_170,TBUK4_226,0.4868,False,"ledbury, date, allocated, properties"
TBUK1051,RP1_01,0.4867,True,"lpg, storeys, blocks, advice"
TBUK4_073,TBUK4_076,0.4867,False,"type, cross wall, wall, cross"
IMG_0166,WESA_2_5_02,0.4865,True,"james, point rochester, rochester avenue, sinclair point"
TBUK4_168,TBUK4_198,0.4865,False,"homes, ledbury, right return, council"
WESA4_1_ 10,WESA_7_1_02,0.4854,True,"bison, association bison, national association, bison tenants"
TBUK3_024,TBUK3_028,0.4853,False,"association, newham, tenants association, tenants"
TBUK4_096,TBUK4_097,0.485,False,"mm, panels, reinforcement, wall panels"
TBUK4_109,TBUK4_112,0.4843,False,"walls, flank walls, floors, flank"
WESA_13_1_052,WESA_13_1_071,0.4842,False,"goodfellow, griffiths, eveleigh, ee"
TBUK4_076,TBUK4_078,0.4834,False,"drawing, steel, title, strengthening"
TBUK12_001,TBUK6_001,0.4825,True,"groups, tower, tower block, national"
TBUK4_009,TBUK4_010,0.4822,False,"ledbury, ledbury tower, deputation, cabinet"
WESA:1:15_01,WESA14_01,0.481,True,"ronan, point, ronan point, said"
TBUK15_001,TBUK15_030,0.4807,False,"network, blocks network, national tower, tower blocks"
TBUK15_030,TBUK15_056,0.4807,False,"network, blocks network, national tower, tower blocks"
TBUK4_054,TBUK4_068,0.4806,False,"assessment, phase, gas, explosion"
WESA4_1_ 07,WESA_7_1_02,0.4805,True,"bison, councils, association bison, national association"
VF_NEW_728_006,VF_NEW_728_028,0.4802,False,"partial, builders, breach, taylor woodrow"
TBUK15_015,TBUK2_002,0.4796,True,"tenants, newcastle, safety, blocks"
NTBTC_07,NTBTC_09,0.4788,False,"ronan point, point, ronan, flats"
TBUK1036,WESA_1_9_02,0.4788,True,"explosion, point, heard, ronan point"
WESA:1:15_01,UNCATALOGUED_02,0.4787,True,"ronan, point, ronan point, said"
WESA_13_1_049,WESA_13_1_071,0.4779,False,"goodfellow, griffiths, ee, eveleigh"
TBUK4_036,TBUK4_037,0.4773,False,"estate, ledbury estate, rpg, ledbury"
TBUK3_024,TBUK3_027,0.4773,False,"newham, association, tenants association, department newham"
WESA4_1_ 10,WESA_7_1_06,0.477,True,"bison, concrete, flats, bought"
TBUK15_033,TBUK2_004,0.4768,True,"tower, tower blocks, blocks, safety"
TBUK4_162,TBUK4_226,0.4765,False,"oxygen, use oxygen, oxygen cylinder, resident"
WESA4_1_ 06,WESA_7_1_02,0.4765,True,"bison, tenants national, association bison, national association"
TBUK1027,WESA_2_6_02,0.4763,True,"tel, tenants, block, tests"
TBUK3_026,TBUK3_041,0.476,False,"newham, association, tower hamlets, hamlets"
TBUK4_057,TBUK4_071,0.4758,False,"criterion, ties, lps criterion, lps"
TBUK3_026,TBUK3_033,0.4755,False,"newham, association, tower hamlets, hamlets"
VF_NEW_728_050,VF_NEW_728_057,0.4754,False,"point, ronan point, ronan, text summary"
